date Mon Dec 30 08:05:50.219 pm 2019
base hex  timestamps absolute
no internal events logged
// version 12.0.0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch2::RelayShortCircuit = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch2::RelayOrgSensor = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::Voltage = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::Resistor = 10000
   0.000000    SV: 1 0 1 ::VTS::M5_Ch15::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch15::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch15::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch15::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch15::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch15::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch15::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch15::RelayOrgComponent = 0
   0.000000    SV: 2 0 1 ::VTS::M3_VT2004::RelaySwapBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M3_VT2004::RelaySwapBusBar2A = 0
   0.000000    SV: 2 0 1 ::VTS::M3_VT2004::RelaySwapBusBar1B = 0
   0.000000    SV: 2 0 1 ::VTS::M3_VT2004::RelaySwapBusBar1A = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch11::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch11::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch11::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch11::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch11::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch11::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch11::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch11::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M3_Ch4::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch4::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M3_Ch4::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M3_Ch4::RelayBusBar1A = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch4::RelayShortCircuit = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch4::RelayOrgSensor = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::Voltage = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch4::Resistor = 10000
   0.000000    SV: 2 0 1 ::VTS::M6_VT2516::RelaySwapBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_VT2516::RelayBusBarB = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M3_Ch3::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch3::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M3_Ch3::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M3_Ch3::RelayBusBar1A = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch3::RelayShortCircuit = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch3::RelayOrgSensor = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::Voltage = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch3::Resistor = 10000
   0.000000    SV: 2 0 1 ::VTS::M2_Ch18::Relay = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch6::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch6::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch6::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch6::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch6::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch6::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch6::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch6::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch6::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch6::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch6::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch6::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch6::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch6::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch6::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch6::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M3_Ch2::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch2::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M3_Ch2::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M3_Ch2::RelayBusBar1A = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch2::RelayShortCircuit = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch2::RelayOrgSensor = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::Voltage = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch2::Resistor = 10000
   0.000000    SV: 2 0 1 ::VTS::M2_Ch16::Relay = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch4::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch4::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch4::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch4::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch4::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch4::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch4::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch4::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M3_Ch1::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch1::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M3_Ch1::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M3_Ch1::RelayBusBar1A = 0
   0.000000    SV: 2 0 1 ::VTS::M3_Ch1::RelayShortCircuit = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M3_Ch1::Poti = 0
